fold,model,top1_micro,top3_micro,top5_micro,top1_macro,top3_macro,top5_macro,mrr,groups,bbox_groups,selected_positive_rate,bbox_mean_iou,bbox_median_iou,bbox_iou50,score_mean_ms,score_p95_ms
0,M0_raw_rank,0.6090225563909775,0.8947368421052632,0.9473684210526315,0.534791912792484,0.824421415001666,0.8735567831193392,0.7567058880968655,266.0,262.0,0.6183206106870229,0.19854696332697386,0.1533582322521338,0.0916030534351145,0.006381203291353006,0.00687500141793862
0,M1_logistic,0.7744360902255639,0.8571428571428571,0.9172932330827067,0.5839594665939649,0.6710993655904207,0.767985306018236,0.8345455433850764,266.0,262.0,0.7862595419847328,0.21700474273479073,0.20127540613590944,0.08396946564885496,0.6066101504574246,1.2823249999200925
0,M2a_tree,0.7969924812030075,0.9360902255639098,0.9586466165413534,0.6847888294580688,0.8531158987541164,0.8824984529234338,0.8699815013724788,266.0,262.0,0.8129770992366412,0.27493479109354585,0.27862470431205666,0.14122137404580154,0.12777932346566523,0.20787500398000702
0,M2b_extra_trees,0.8082706766917294,0.9398496240601504,0.9774436090225563,0.7100010385968557,0.8735859936559042,0.9336928934010152,0.8713703902613678,266.0,262.0,0.8206106870229007,0.22731494771223298,0.22703706620767805,0.08015267175572519,3.4648909776636114,5.960099999356316
1,M0_raw_rank,0.792358803986711,0.8637873754152824,0.8899501661129569,0.6481729872787793,0.7657190422208107,0.8016814161940868,0.8343962778392677,2408.0,2208.0,0.8641304347826086,0.3219939943178241,0.3470005202199719,0.25,0.006366799920215271,0.00650000583846122
1,M1_logistic,0.8417774086378738,0.8791528239202658,0.8920265780730897,0.7346668565915385,0.8098456607082963,0.8746904482103235,0.863811974135647,2408.0,2208.0,0.9180253623188406,0.1998294705967724,0.19284649018299416,0.03940217391304348,0.32555919990409166,0.5757949969847678
1,M2a_tree,0.7026578073089701,0.8268272425249169,0.8666943521594684,0.7301158332697073,0.8687783927901188,0.8894110262173578,0.7722016810172069,2408.0,2208.0,0.832427536231884,0.31062090770168405,0.3404090598490298,0.24139492753623187,0.10075699983281083,0.1455499947041971
1,M2b_extra_trees,0.8833056478405316,0.9086378737541528,0.9111295681063123,0.8038561671756246,0.9054941245525235,0.9123797957660499,0.8961635997257389,2408.0,2208.0,0.9633152173913043,0.28128426378080584,0.29915076075311586,0.1322463768115942,3.068654999966384,4.513734999272855
2,M0_raw_rank,0.9125752296484004,0.9904973075704783,0.9955654101995566,0.6936659589525832,0.9598844066996932,0.9985138004246285,0.9513206519625005,3157.0,3151.0,0.9143129165344335,0.41749137380065365,0.43738906893892493,0.39384322437321484,0.0066791999561246485,0.006900001608300954
2,M1_logistic,0.9876464998416218,0.9933481152993349,0.9965156794425087,0.7880573248407643,0.8730891719745223,0.9572717622080679,0.9911193819730404,3157.0,3151.0,0.9895271342430975,0.21760058286919026,0.20202153734591505,0.046969216121866074,0.3554284001002088,0.6317899969872082
2,M2a_tree,0.8932530883750396,0.9474184352233133,0.9512195121951219,0.881104033970276,0.9408174097664542,0.983651804670913,0.9224510335656656,3157.0,3151.0,0.8952713424309743,0.36591438659291503,0.38408600790785236,0.3246588384639797,0.11092479966464452,0.18469000096956725
2,M2b_extra_trees,0.9930313588850174,0.9977827050997783,0.9980994615140957,0.9561040339702759,0.9992569002123143,0.9993630573248408,0.9953806356245382,3157.0,3151.0,0.9949222469057442,0.2650659803405282,0.244009294742961,0.10060298317994287,5.185029600106645,14.249545005804936
3,M0_raw_rank,0.34,0.72,0.8,0.3974358974358974,0.7135531135531137,0.7868131868131868,0.5416033966033966,50.0,50.0,0.34,0.08817764892510027,0.0,0.04,0.007040000346023589,0.007655000081285834
3,M1_logistic,0.42,0.64,0.76,0.42820512820512824,0.6527472527472528,0.7296703296703296,0.5645996944232238,50.0,50.0,0.42,0.07675721116495009,0.0,0.04,0.3862839998328127,0.6871549987408797
3,M2a_tree,0.54,0.88,0.94,0.5461538461538461,0.8600732600732601,0.9395604395604397,0.7211666666666666,50.0,50.0,0.66,0.19892079781270638,0.14413068476015883,0.06,0.16587999954936095,0.1936299995577426
3,M2b_extra_trees,0.68,0.92,0.96,0.6483516483516484,0.9267399267399267,0.9523809523809524,0.7989999999999999,50.0,50.0,0.68,0.16713188915761407,0.14607105345009688,0.02,3.762606000964297,5.535929999678045
4,M0_raw_rank,0.6218514188542884,0.7864810288022106,0.8373897332341376,0.4186444760567089,0.6301099088032004,0.7047261354635991,0.7198190701792869,9409.0,8879.0,0.6589706047978376,0.22166871377425815,0.22209620799188529,0.11206216916319406,0.007615200069267303,0.008905001959647047
4,M1_logistic,0.7676692528430227,0.8708683175682856,0.9155064300138166,0.6055030920630092,0.7741576494209275,0.8321548860319865,0.829806872476187,9409.0,8879.0,0.8134925104178399,0.17321437754052715,0.14395863589311175,0.04167135938731839,0.44853359990520403,0.6308199972409052
4,M2a_tree,0.7293017323838877,0.8554575406525667,0.8847911574024869,0.5954800481557787,0.7430863694827764,0.78438398590942,0.7988992168712683,9409.0,8879.0,0.7695686451176934,0.2519602786339665,0.2677302793003988,0.12062169163194053,0.11468280013650656,0.18117500294465555
4,M2b_extra_trees,0.8621532575193963,0.8899989371877989,0.909342119247529,0.744497771402985,0.7887493242601464,0.8180089164559194,0.8824252659233708,9409.0,8879.0,0.9136163982430454,0.2706560052843942,0.2714273191993925,0.11600405451064309,3.319983199980925,4.979215005369042
