fold,model,top1_micro,top3_micro,top5_micro,top1_macro,top3_macro,top5_macro,mrr,groups,bbox_groups,selected_positive_rate,bbox_mean_iou,bbox_median_iou,bbox_iou50,score_mean_ms,score_p95_ms
0,M0_raw_rank,0.9683597002497918,0.9925062447960034,0.9958368026644463,0.9683597002497918,0.9925062447960034,0.9958368026644463,0.9809276000158598,1201.0,1201.0,0.9683597002497918,0.4429269382621546,0.44153812110937063,0.3513738551207327,0.007809400023688795,0.007599999753438169
0,M1_logistic,0.9267277268942548,0.9467110741049126,0.9592006661115737,0.9267277268942548,0.9467110741049126,0.9592006661115737,0.9423738140848882,1201.0,1201.0,0.9267277268942548,0.3007025061167344,0.28584443942956284,0.11740216486261448,0.34679080003115814,0.45863499981351175
0,M2a_tree,0.861781848459617,0.9608659450457951,0.9666944213155704,0.861781848459617,0.9608659450457951,0.9666944213155704,0.912201726821284,1201.0,1201.0,0.93255620316403,0.42873061403229995,0.43653577023178297,0.3347210657785179,0.09894439998606686,0.12992999963898907
0,M2b_extra_trees,0.9900083263946711,0.9941715237302248,0.9966694421315571,0.9900083263946711,0.9941715237302248,0.9966694421315571,0.9927397246933598,1201.0,1201.0,0.9900083263946711,0.3590950758525127,0.3420902423135779,0.15986677768526228,3.4663632000083453,5.014124999524937
1,M0_raw_rank,0.22176696542893726,0.5226632522407171,0.6304737516005121,0.35695521570996963,0.6389186445489521,0.7141644885117856,0.4687559577897062,3905.0,3400.0,0.25470588235294117,0.09198432534732437,0.0,0.057058823529411766,0.007549600013589952,0.007404999996651891
1,M1_logistic,0.5021766965428938,0.7029449423815621,0.8117797695262484,0.53059297736116,0.7111988940777505,0.8059222537705245,0.7202817674797732,3905.0,3400.0,0.576764705882353,0.14043075913327305,0.09486491233402253,0.03852941176470588,0.3711682000212022,0.5936350014053455
1,M2a_tree,0.29961587708066584,0.6,0.6855313700384122,0.3697659707920585,0.6737356013554676,0.7254325645491602,0.5487356991930042,3905.0,3400.0,0.31882352941176473,0.11144928348805618,0.0,0.06676470588235293,0.10663340000974131,0.1375849992655275
1,M2b_extra_trees,0.49603072983354674,0.6873239436619718,0.776696542893726,0.4656539425261123,0.7393621843952274,0.8221924767201992,0.7070689020163046,3905.0,3400.0,0.5697058823529412,0.18453131434583075,0.13255599824570818,0.09029411764705883,3.210101999942708,4.0049449989055566
2,M0_raw_rank,0.8631186174391202,0.9473684210526315,0.9621956009426551,0.6796371464613841,0.8959185893587885,0.9327449318249019,0.9289197706864377,10184.0,9949.0,0.8835058799879385,0.2705458620665524,0.266349343055873,0.12373102824404462,0.0062403998999798205,0.006399999620043673
2,M1_logistic,0.8838373919874313,0.933523173605656,0.9503142183817753,0.6747243839830225,0.8119935479151671,0.9126242637285282,0.9344388044683352,10184.0,9949.0,0.9047140416122224,0.16588277392742679,0.1523782940896301,0.023218413910945822,0.33668019993638154,0.6092600006013524
2,M2a_tree,0.5525333857030637,0.6045758051846033,0.6981539670070699,0.5498883152687145,0.6790856344213342,0.7824449592185009,0.6404805595706006,10184.0,9949.0,0.5741280530706604,0.1880451450034464,0.12119187431222207,0.10302542969142628,0.09693000001061591,0.14636500072811026
2,M2b_extra_trees,0.8432835820895522,0.913688138256088,0.9347996857816182,0.6488888533609498,0.8299816746592045,0.922198922591887,0.9051648320108489,10184.0,9949.0,0.8632023318926525,0.1852747963135879,0.16898352913196052,0.043320936777565586,3.055977799987886,3.840874999605148
